id,x,y,frame,gfp_intensity,mcy_intensity,bbox,area,predicted_class,trackId,lineageId,parentTrackId
211,877,901,17,56339.641856092974,50489.69740215348,"(813, 845, 959, 966)",11702,G2,9,9,-1
223,877,901,18,56126.884412096006,51536.73503162638,"(814, 846, 957, 966)",11541,G2,9,9,-1
236,878,898,19,56255.90275749506,52076.08315436818,"(815, 843, 958, 964)",11641,G2,9,9,-1
11,983,250,0,50068.43605569111,32814.79417252763,"(927, 208, 1037, 296)",6967,G2,10,10,-1
23,981,249,1,49521.58961403509,32689.810807017544,"(926, 205, 1034, 297)",7125,G2,10,10,-1
35,980,253,2,49063.2049402823,32313.372964169383,"(924, 209, 1034, 305)",7368,G2,10,10,-1
47,980,252,3,48807.561159811194,32708.792312879297,"(924, 207, 1035, 304)",7415,G2,10,10,-1
58,979,252,4,48967.88684503902,32600.882943143813,"(924, 209, 1034, 297)",7176,G2,10,10,-1
69,980,256,5,48857.42313019391,33367.31828254848,"(921, 215, 1037, 298)",7220,G2,10,10,-1
80,980,256,6,48083.82756203561,32722.999158839197,"(924, 214, 1035, 300)",7133,G2,10,10,-1
92,976,256,7,48858.75753308927,33214.142776682624,"(920, 214, 1032, 299)",7102,G2,10,10,-1
104,976,257,8,49187.54957777172,33984.867883410516,"(918, 215, 1033, 300)",7342,G2,10,10,-1
116,975,260,9,49478.02467170712,34642.35097493036,"(917, 216, 1032, 307)",7539,G2,10,10,-1
129,973,258,10,49087.849320543566,34956.520250466296,"(915, 217, 1031, 300)",7506,G2,10,10,-1
141,975,258,11,49766.28312691437,35317.57704088427,"(916, 217, 1033, 301)",7509,G2,10,10,-1
153,972,256,12,49969.70380133185,35749.041065482794,"(914, 216, 1029, 297)",7208,G2,10,10,-1
165,973,257,13,50902.67572438652,37881.21059198669,"(916, 217, 1030, 299)",7213,G2,10,10,-1
177,971,260,14,52178.088158437626,40874.8762206024,"(913, 219, 1028, 300)",7271,G2,10,10,-1
189,971,262,15,53398.02554450121,43328.70879268621,"(913, 219, 1029, 301)",7438,G2,10,10,-1
201,970,261,16,55497.34631200205,47325.83705988178,"(910, 219, 1029, 303)",7782,G2,10,10,-1
213,972,262,17,55537.544922913345,49834.665736310475,"(914, 220, 1029, 308)",7524,G2,10,10,-1
225,970,263,18,55514.580089426614,51022.470410310365,"(913, 219, 1028, 309)",7604,G2,10,10,-1
237,972,265,19,54851.87707200636,51110.05954117491,"(916, 221, 1030, 309)",7541,G2,10,10,-1
17,656,707,1,2073.8268993477877,42615.19487043892,"(566, 662, 746, 746)",11346,G1,11,11,-1
29,655,708,2,2105.05439742328,41382.029256508904,"(563, 666, 746, 748)",11177,G1,11,11,-1
41,653,709,3,2075.2045310376075,40999.244857272315,"(561, 668, 744, 749)",11035,G1,11,11,-1
86,644,703,7,2021.5264441927334,37888.33606343121,"(549, 651, 733, 746)",11477,G1,11,11,-1
98,643,703,8,2020.1444621372966,37722.18409412597,"(547, 650, 727, 746)",11304,G1,11,11,-1
